Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\VeloTime.Agent.csproj,,,Microsoft.EntityFrameworkCore 9.0.12,,,,,"Microsoft.EntityFrameworkCore, 9.0.12  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\VeloTime.Agent.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.12,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.12  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\VeloTime.Agent.csproj,,,Microsoft.EntityFrameworkCore.Relational 9.0.12,,,,,"Microsoft.EntityFrameworkCore.Relational, 9.0.12  Recommendation:  Remove Microsoft.EntityFrameworkCore.Relational, and replace with new package Microsoft.EntityFrameworkCore.Relational 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\VeloTime.Agent.csproj,,,Microsoft.Extensions.Hosting 9.0.12,,,,,"Microsoft.Extensions.Hosting, 9.0.12  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.3"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\VeloTime.Agent.csproj,,,Microsoft.Extensions.Hosting.Abstractions 9.0.12,,,,,"Microsoft.Extensions.Hosting.Abstractions, 9.0.12  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.3"
NuGet.0006,NuGet package source mappings are recommended,Active,Information,1,src\Agent\VeloTime.Agent.csproj,File,NuGet.config,,,,,,,,Found 1 files matching the rule:    %USERPROFILE%\source\repos\asbjorjo\VeloTimer.new\NuGet.config  
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\VeloTime.Agent.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\Service\MessagingService.cs,32,8,"M:System.Diagnostics.ActivitySource.StartActivity(System.String,System.Diagnostics.ActivityKind)",,,,,"using var activity = Instrumentation.Source.StartActivity(""Send Passings"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\HostingExtensions.cs,163,16,M:System.TimeSpan.FromHours(System.Int32),,,,,"options.MessageCleanup = new OutboxMessageCleanupSettings                  {                      Enabled = true,                      BatchSize = 100,                      Age = TimeSpan.FromDays(3),                      Interval = TimeSpan.FromHours(1)                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Agent\VeloTime.Agent.csproj,File,src\Agent\HostingExtensions.cs,163,16,M:System.TimeSpan.FromDays(System.Int32),,,,,"options.MessageCleanup = new OutboxMessageCleanupSettings                  {                      Enabled = true,                      BatchSize = 100,                      Age = TimeSpan.FromDays(3),                      Interval = TimeSpan.FromHours(1)                  };"
